  (26,27)       2.122946118296984e+11
  (27,27)      -5.696289075765498e+11
  (28,27)      -1.037179656092418e+09
  (29,27)      -1.058160758612918e+11
  (30,27)       2.872096273999606e+11
  (31,27)      -9.901954143713544e+10
  (23,28)       4.066268013913280e+10
  (24,28)      -9.798236178104303e+10
  (25,28)      -2.297147480775655e+10
  (26,28)      -5.597658570928438e+08
  (27,28)      -1.037179656092418e+09
  (28,28)      -9.204743830405786e+10
  (29,28)      -4.010291428203996e+10
  (30,28)       9.901954143713544e+10
  (31,28)      -2.305224434427238e+10
  (26,29)       6.879087673787904e+10
  (27,29)      -1.058160758612918e+11
  (28,29)      -4.010291428203996e+10
  (29,29)      -1.363143836747920e+11
  (30,29)       2.108757108831131e+11
  (31,29)      -5.834882034692891e+08
  (32,29)       6.752350693691291e+10
  (33,29)      -1.050596350218214e+11
  (34,29)       3.951942607857067e+10
  (26,30)      -1.058160758612918e+11
  (27,30)       2.872096273999606e+11
  (28,30)       9.901954143713544e+10
  (29,30)       2.108757108831131e+11
  (30,30)      -5.792083380521696e+11
  (31,30)      -1.029638508613287e+09
  (32,30)      -1.050596350218214e+11
  (33,30)       2.919987106522089e+11
  (34,30)      -1.000491799457487e+11
  (26,31)       4.010291428203996e+10
  (27,31)      -9.901954143713544e+10
  (28,31)      -2.305224434427238e+10
  (29,31)      -5.834882034692891e+08
  (30,31)      -1.029638508613287e+09
  (31,31)      -9.236822998725853e+10
  (32,31)      -3.951942607857067e+10
  (33,31)       1.000491799457487e+11
  (34,31)      -2.313187064935688e+10
  (29,32)       6.752350693691291e+10
  (30,32)      -1.050596350218214e+11
  (31,32)      -3.951942607857067e+10
  (32,32)      -1.337565048180939e+11
  (33,32)       2.092669114463423e+11
  (34,32)      -6.073318959381071e+08
  (35,32)       6.623299788118103e+10
  (36,32)      -1.042072764245209e+11
  (37,32)       3.891209418263256e+10
  (29,33)      -1.050596350218214e+11
  (30,33)       2.919987106522089e+11
  (31,33)       1.000491799457487e+11
